g	FS	FC
9.9	0.002827306684372699	0.0022618453474981814
10.0	0.0028787382469501743	0.0023029905975601173
10.1	0.0029300954571688242	0.0023440763657351926
10.200000000000001	0.002981325062649587	0.002385060050119625
10.299999999999999	0.0030323801258389516	0.002425904100671117
10.4	0.0030832194154021275	0.0024665755323216576
10.5	0.0031338068570710975	0.0025070454856568336
10.6	0.003184111037837778	0.0025472888302701113
10.700000000000001	0.0032341047580540794	0.0025872838064433523
10.799999999999999	0.003283764626580088	0.0026270117012640037
10.9	0.0033330706946600452	0.0026664565557279474
11.0	0.0033820061246445654	0.002705604899715608
11.1	0.0034305568901120687	0.0027444455120896327
11.200000000000001	0.0034787115042884675	0.0027829692034307962
11.299999999999999	0.0035264607739941	0.0028211686191952356
11.4	0.003573797576630011	0.0028590380613039423
11.5	0.0036207166579789174	0.002896573326383156
11.6	0.0036672144488134606	0.002933771559050724
11.700000000000001	0.003713288898516298	0.0029706311188130163
11.799999999999999	0.0037589393240929914	0.0030071514592744375
11.9	0.0038041662731180814	0.003043333018494465
12.0	0.003848971399310841	0.003079177119448717
12.1	0.003893357349549098	0.0031146858796393673
12.200000000000001	0.003937327661264534	0.0031498621290115825
12.299999999999999	0.003980886669247119	0.0031847093353978284
12.4	0.004024039420999492	0.003219231536799705
12.5	0.004066791599850239	0.003253433279880147
12.6	0.0041091494551178664	0.0032873195640942265
12.7	0.004151119738681208	0.0033208957909449666
12.8	0.004192709647377835	0.003354167717902312
12.9	0.004233926770700558	0.0033871414165604907
13.0	0.004274779043316634	0.0034198232346532853
13.1	0.004315274701972127	0.003452219761577724
13.2	0.004355422246396734	0.0034843377971174316
13.3	0.0043952304038439305	0.0035161843230751
13.4	0.004434708096944573	0.003547766477555614
13.5	0.004473864414583861	0.0035790915316671335
13.6	0.0045127085855285465	0.0036101668684228594
13.7	0.004551249954562575	0.0036409999636500823
13.8	0.004589497960909683	0.0036715983687276577
13.9	0.004627462118744541	0.0037019696949955883
14.0	0.004665151999599937	0.0037321215996799495
14.1	0.004702577216512238	0.0037620617732099237
14.2	0.0047397474097472525	0.003791797927797824
14.3	0.004776672233969048	0.003821337787175194
14.399999999999999	0.004813361346722389	0.0038506890773778446
14.5	0.004849824398117986	0.003879859518494344
14.600000000000001	0.004886071021608429	0.00390885681728681
14.7	0.0049221108257652135	0.00393768866061206
14.8	0.004957953386962699	0.0039663627095702925
14.899999999999999	0.0049936082428923	0.003994886594313796
15.0	0.00502908488683218	0.004023267909465722
15.1	0.005064392762604952	0.004051514210084095
15.200000000000001	0.005099541260162765	0.004079633008130301
15.3	0.00513453971174227	0.004107631769393882
15.399999999999999	0.0051693973885400535	0.004135517910831998
15.500000000000002	0.005204123497860813	0.004163298798288695
15.600000000000001	0.005238727180693403	0.004190981744554678
15.7	0.005273217509676464	0.0042185740077410605
15.799999999999999	0.005307603487424095	0.0042460827899393205
15.9	0.005341894045163831	0.004273515236130954
16.0	0.005376098041673494	0.004300878433338817
16.099999999999998	0.005410224262477059	0.004328179409981536
16.200000000000003	0.005444281419282548	0.004355425135426083
16.3	0.005478278149630977	0.004382622519704782
16.4	0.005512223016743367	0.004409778413394627
16.5	0.005546124509541506	0.004436899607633271
16.6	0.005579991042824806	0.0044639928342598
16.7	0.005613830957590049	0.004491064766072084
16.8	0.005647652521475477	0.0045181220171803815
16.900000000000002	0.005681463929320563	0.004545171143456428
17.0	0.005715273303822599	0.0045722186430581235
17.099999999999998	0.005749088696284987	0.0045992709570279455
17.2	0.005782918087443689	0.004626334469955085
17.3	0.005816769388362619	0.004653415510690095
17.4	0.005850650441389438	0.004680520353111506
17.5	0.005884569021165631	0.004707655216932616
17.6	0.005918532835681112	0.004734826268544934
17.7	0.005952549527368456	0.004762039621894809
17.8	0.00598662667422889	0.004789301339383156
17.9	0.0060207717909893654	0.004816617432791381
18.0	0.006054992330279063	0.004843993864223295
18.1	0.006089295683825435	0.004871436547060348
18.2	0.006123689183664793	0.004898951346931968
18.3	0.006158180103364219	0.004926544082691442
18.4	0.006192775659248917	0.0049542205273990225
18.5	0.006227483011633672	0.0049819864093070265
18.6	0.006262309266058308	0.005009847412846602
18.7	0.0062972614745197	0.005037809179615826
18.8	0.006332346636700015	0.005065877309360034
18.9	0.0063675717011936195	0.005094057360954807
19.0	0.006402943566720887	0.005122354853376643
19.1	0.0064384690833388936	0.0051507752666711815
19.2	0.006474155053638575	0.005179324042910993
19.3	0.006510008233931108	0.005208006587144931
19.4	0.00654603533542375	0.005236828268338933
19.5	0.006582243025378021	0.005265794420302283
19.6	0.006618637928258342	0.00529491034260654
19.7	0.006655226626861022	0.005324181301488928
19.8	0.00669201566343125	0.005353612530744956
19.9	0.00672901154076011	0.005383209232608044
20.0	0.006766220723267824	0.005412976578614392
20.1	0.006803649638066345	0.005442919710453076
20.2	0.00684130467600752	0.005473043740806149
20.3	0.006879192192711603	0.005503353754169327
20.400000000000002	0.006917318509577108	0.0055338548076615535
20.5	0.006955689914774021	0.0055645519318192616
20.599999999999998	0.006994312664215907	0.005595450131372859
20.7	0.007033192982516812	0.00562655438601356
20.8	0.007072337063927514	0.0056578696511419
20.9	0.007111751073251682	0.005689400858601368
21.0	0.007151441146747817	0.005721152917398387
21.1	0.00719141339300855	0.005753130714406751
21.2	0.007231673893823953	0.005785339115059074
21.299999999999997	0.007272228705025308	0.005817782964020246
21.400000000000002	0.007313083857311331	0.00585046708584902
21.5	0.0073542453570564215	0.005883396285645048
21.599999999999998	0.007395719187100469	0.005916575349680264
21.700000000000003	0.0074375113075213495	0.005950009046017057
