kappa	infid_local	infid_remote	ps_local	ps_remote
6.8500000000000005	0.04142018630183841	0.08955152352751694	0.5127067588721571	0.6766316407330951
6.8999999999999995	0.04217035480621123	0.09056219033964263	0.5108976444486408	0.6762174155027985
6.949999999999999	0.04292653959282622	0.09157381635252904	0.5090993877236447	0.6758078896093315
7.0	0.04368872819106007	0.09258634040608693	0.507311944683989	0.6754030592287565
7.05	0.0444569080620546	0.09359970225709036	0.5055352707487223	0.6750029190354259
7.1	0.045231066591204794	0.09461384256684402	0.5037693208067455	0.6746074622782176
7.1499999999999995	0.046011191081002045	0.09562870288915737	0.502014049252722	0.6742166808532989
7.199999999999999	0.046797268744215303	0.09664422565860831	0.500269410021356	0.6738305653735928
7.25	0.04758928669739115	0.09766035417908348	0.49853535662011755	0.6734491052351002
7.3	0.04838723195466377	0.09867703261257321	0.49681184216048446	0.6730722886802296
7.35	0.049191091421848854	0.09969420596821477	0.49509881938777345	0.6727001028582772
7.4	0.05000085189082104	0.10071182009156487	0.49339624070962484	0.6723325338831898
7.45	0.05081650003415239	0.1017298216540915	0.49170405822320373	0.6719695668887417
7.5	0.05163802240000348	0.10274815814287508	0.490022223741175	0.6716111860812443
7.55	0.05246540540725242	0.10376677785050448	0.48835068881651134	0.6712573747899052
7.6	0.0532986353408601	0.10478562986516005	0.4866894047661857	0.6709081155149437
7.65	0.05413769834744531	0.10580466406087763	0.485038322693799	0.670563389973567
7.7	0.0549825804310794	0.1068238310879771	0.48339739351119226	0.6702231791439097
7.75	0.05583326744927386	0.10784308236365592	0.48176656795908746	0.6698874633070218
7.800000000000001	0.05668974510916558	0.10886237006273503	0.480145796626803	0.6695562220870032
7.8500000000000005	0.05755199896388308	0.10988164710854931	0.4785350299710811	0.6692294344893596
7.9	0.05842001440909139	0.11090086716398173	0.47693421833407346	0.6689070789376714
7.95	0.05929377667970326	0.11191998462262964	0.47534331196051255	0.6685891333086383
8.0	0.06017327084675761	0.11293895460010006	0.4737622610141162	0.6682755749655866
8.05	0.06105848181444884	0.11395773292542621	0.47219101559324794	0.6679663807904954
8.100000000000001	0.06194939431731117	0.11497627613260486	0.47062952574587535	0.667661527214616
8.149999999999999	0.06284599291754245	0.1159945414522463	0.4690777414838484	0.6673609902477433
8.2	0.06374826200247197	0.11701248680333387	0.4675356127965352	0.6670647455062007
8.25	0.06465618578215637	0.11803007078508665	0.4660030896638374	0.6667727682395919
8.299999999999999	0.06556974828710938	0.11904725266892857	0.4644801220686138	0.6664850333563785
8.35	0.06648893336615314	0.12006399239054999	0.462966660008539	0.6662015154483291
8.4	0.06741372468438944	0.12108025054206839	0.46146265350741844	0.6659221888138946
8.45	0.06834410572128713	0.12209598836427915	0.4599680526259866	0.6656470274805547
8.5	0.06928005976888119	0.12311116773899633	0.4584828074722064	0.6653760052261748
8.55	0.07022156993007977	0.1241257511814784	0.45700686821109404	0.665109095599426
8.6	0.07116861911707573	0.12513970183293954	0.45554018507408867	0.6648462719392988
8.65	0.07212119004985806	0.12615298345314263	0.4540827083679849	0.6645875073937569
8.7	0.07307926525482311	0.12716556041307003	0.4526343884834476	0.664332774937563
8.75	0.07404282706347975	0.12817739768767455	0.4511951759031267	0.6640820473893131
8.8	0.0750118576112444	0.12918846084870328	0.4497650212093866	0.6638352974277147
8.85	0.07598633883632855	0.1301987160575987	0.4483438750916714	0.6635924976071396
8.9	0.07696625247871136	0.13120813005846954	0.446931688353514	0.6633536203724802
8.95	0.07795158007919345	0.13221667017113314	0.44552841191920844	0.6631186380733443
9.0	0.07894230297853855	0.13322430428422893	0.44413399684016086	0.6628875229776088
9.05	0.07993840231668725	0.134231000848397	0.44274839430092633	0.6626602472843655
9.1	0.08093985903205358	0.1352367288695262	0.44137155562495084	0.6624367831362804
