r	border_local	border_remote
0.2	933.2543007969905	741.3102413009177
0.21000000000000002	831.7637711026708	660.6934480075957
0.22	724.4359600749906	588.843655355589
0.23	645.6542290346556	524.8074602497722
0.24000000000000002	575.4399373371573	467.73514128719813
0.25	512.8613839913648	416.8693834703355
0.26	467.73514128719813	380.18939632056123
0.27	416.8693834703355	338.84415613920277
0.28	380.18939632056123	309.02954325135886
0.29000000000000004	338.84415613920277	281.8382931264455
0.30000000000000004	309.02954325135886	257.03957827688646
0.31000000000000005	281.8382931264455	229.08676527677724
0.32000000000000006	257.03957827688646	208.92961308540387
0.33000000000000007	234.42288153199226	190.54607179632484
0.3400000000000001	213.79620895022325	173.78008287493762
0.35000000000000003	194.98445997580455	162.18100973589299
0.36000000000000004	177.82794100389228	147.91083881682073
0.37000000000000005	162.18100973589299	134.89628825916532
0.38000000000000006	151.35612484362088	123.02687708123811
0.39000000000000007	138.03842646028852	114.81536214968828
0.4000000000000001	125.89254117941663	104.71285480508996
0.41000000000000003	114.81536214968828	95.4992586021436
0.4200000000000001	107.1519305237606	89.12509381337459
0.4300000000000001	97.72372209558107	81.28305161640995
0.44000000000000006	91.20108393559097	75.8577575029184
0.45000000000000007	83.17637711026708	69.18309709189363
0.4600000000000001	77.6247116628692	64.56542290346556
0.4700000000000001	70.79457843841381	58.8843655355589
0.4800000000000001	66.06934480075961	54.95408738576243
0.49	60.25595860743581	51.28613839913648
0.5	56.23413251903491	46.77351412871981
0.51	52.480746024977286	43.65158322401658
0.52	47.86300923226385	40.73802778041126
0.53	44.668359215096324	37.15352290971724
0.54	41.68693834703355	34.673685045253166
0.55	38.0189396320561	32.35936569296281
0.56	35.48133892335757	29.512092266663856
0.5700000000000001	33.11311214825911	27.542287033381662
0.5800000000000001	30.902954325135905	25.703957827688633
0.5900000000000001	28.183829312644534	23.98832919019491
0.6000000000000001	26.302679918953814	21.87761623949552
0.6100000000000001	24.547089156850298	20.417379446695296
0.62	22.908676527677724	19.054607179632473
0.63	20.892961308540396	17.78279410038923
0.6400000000000001	19.498445997580454	16.595869074375607
0.6500000000000001	18.197008586099834	15.488166189124811
0.6600000000000001	16.982436524617444	14.125375446227547
0.67	15.848931924611142	13.182567385564074
0.68	14.454397707459272	12.302687708123818
0.6900000000000001	13.489628825916533	11.481536214968829
0.7000000000000001	12.589254117941667	10.715193052376065
0.7100000000000001	11.748975549395297	9.772372209558107
0.7200000000000001	10.715193052376065	9.120108393559097
0.7300000000000001	10.0	8.511380382023763
0.7400000000000001	9.33254300796991	7.943282347242813
0.7500000000000001	8.709635899560807	7.2443596007499025
0.7600000000000001	7.943282347242813	6.760829753919819
0.77	7.413102413009173	6.309573444801933
0.78	6.760829753919819	5.7543993733715695
0.79	6.309573444801933	5.248074602497725
0.8	5.7543993733715695	4.8977881936844625
0.81	5.370317963702527	4.466835921509632
0.8200000000000001	4.8977881936844625	4.073802778041127
0.8300000000000001	4.466835921509632	3.715352290971726
0.8400000000000001	4.073802778041127	3.311311214825911
0.8500000000000001	3.630780547701014	3.019951720402016
0.8600000000000001	3.2359365692962827	2.630267991895382
0.8700000000000001	2.8840315031266055	2.290867652767773
0.8800000000000001	2.51188643150958	1.9498445997580451
0.8900000000000001	2.137962089502232	1.5848931924611136
0.9000000000000001	1.7782794100389228	1.1748975549395295
0.9100000000000001	1.3489628825916535	1.0
0.9200000000000002	1.0	1.0
0.9300000000000002	1.0	1.0
0.9400000000000002	1.0	1.0
0.9500000000000002	1.0	1.0
0.9600000000000002	1.0	1.0
0.9700000000000002	1.0	1.0
0.9800000000000002	1.0	1.0
0.9900000000000002	1.0	1.0
1.0000000000000002	1.0	1.0
1.0100000000000002	1.0	1.0
1.02	1.0	1.0
1.03	1.0	1.0
1.04	1.0	1.0
1.05	1.0	1.0
1.06	1.0	1.0
1.07	1.0	1.0
1.0800000000000003	1.0	1.0
1.0900000000000003	1.0	1.0
1.1000000000000003	1.0	1.0
1.1100000000000003	1.0	1.0
1.1200000000000003	1.0	1.0
1.1300000000000003	1.0	1.0
1.1400000000000001	1.0	1.0
1.1500000000000001	1.0	1.0
1.1600000000000001	1.0	1.0
1.1700000000000002	1.0	1.0
1.1800000000000002	1.0	1.0
1.1900000000000002	1.0	1.0
1.2000000000000002	1.0	1.0
