g	infid_local	infid_remote	ps_local	ps_remote
29.4	0.002212576808811262	0.002065640971479432	0.9253044031721357	0.8870403982403712
29.5	0.0022325872588881968	0.002071385285178806	0.925500380186051	0.8871850684516539
29.599999999999998	0.0022527504562473988	0.002077209611487829	0.9256944555927248	0.8873283515315016
29.7	0.0022730677378917097	0.002083113690188876	0.9258866542736256	0.8874702650251239
29.799999999999997	0.0022935404434797357	0.0020890972804670227	0.9260770007133785	0.8876108262067075
29.9	0.0023141699152813278	0.002095160160383358	0.9262655190073066	0.8877500520843475
30.0	0.0023349574981338383	0.002101302126365945	0.9264522328688083	0.8878879594048804
30.099999999999998	0.002355904539403042	0.002107522992714883	0.9266371656365697	0.8880245646586087
30.2	0.0023770123889450545	0.002113822591124359	0.9268203402816267	0.888159884083936
30.3	0.00239828239906803	0.002120200770217684	0.9270017794142665	0.8882939336719
30.4	0.0024197159244987443	0.0021266573950988743	0.9271815052907851	0.8884267291706196
30.5	0.002441314322349397	0.002133192346916224	0.9273595398200969	0.8885582860896422
30.599999999999998	0.002463078952085418	0.0021398055224388646	0.9275359045702009	0.8886886197042098
30.7	0.0024850111754958215	0.002146496833650091	0.927710620774512	0.8888177450594349
30.8	0.002507112356665564	0.0021532662073479036	0.9278837093380515	0.8889456769743899
30.9	0.002529383861947565	0.002160113584761092	0.9280551908435107	0.8890724300461171
31.0	0.0025518270599367288	0.002167038921175979	0.9282250855571816	0.8891980186535533
31.1	0.002574443321446296	0.0021740421855751535	0.9283934134347638	0.8893224569613801
31.2	0.002597234019485084	0.0021811233602850866	0.9285601941270478	0.8894457589237914
31.3	0.0026202005292331743	0.0021882824406377344	0.9287254469854793	0.8895679382881889
31.4	0.002643344228023259	0.002195519434638582	0.928889191067605	0.8896890085988023
31.5	0.00266666649531877	0.0022028343626473434	0.9290514451424048	0.8898089832002357
31.6	0.002690168712696561	0.002210227257068431	0.9292122276955131	0.8899278752409467
31.7	0.0027138522638263662	0.002217698162046089	0.9293715569343302	0.8900456976766518
31.8	0.0027377185344571453	0.002225247133176067	0.9295294507930272	0.8901624632736662
31.900000000000002	0.002761768912396434	0.0022328742372199617	0.9296859269374487	0.8902781846121811
32.0	0.002786004787498464	0.0022405795518283256	0.9298410027699118	0.890392874089467
32.1	0.0028104275516463995	0.0022483631652765457	0.9299946954339072	0.8905065439230249
32.2	0.002835038598739792	0.002256225176203275	0.930147021818704	0.8906192061536661
32.300000000000004	0.002859839324681146	0.00226416569335941	0.9302979985638596	0.8907308726485373
32.4	0.002884831127361265	0.002272184835363733	0.9304476420636361	0.8908415551040854
32.5	0.00291001540664948	0.0022802827304649886	0.9305959684713285	0.8909512650489607
32.6	0.0029353935643789963	0.0022884595163130683	0.9307429937035039	0.8910600138468687
32.7	0.002960967004338899	0.0022967153397331908	0.9308887334441536	0.8911678126993653
32.800000000000004	0.0029867371322598313	0.0023050503565105185	0.9310332031487634	0.891274672648593
32.9	0.0030127053558069994	0.0023134647311782164	0.9311764180482998	0.8913806045799699
33.0	0.0030388730845679612	0.0023219586368133927	0.9313183931531166	0.8914856192248262
33.1	0.003065241730044521	0.0023305322548372587	0.9314591432567831	0.8915897271629846
33.2	0.003091812705643071	0.0023391857748225053	0.9315986829398353	0.8916929388252978
33.300000000000004	0.00311858742666582	0.0023479193943053422	0.9317370265734528	0.8917952644961344
33.4	0.003145567310302355	0.00235673331860331	0.9318741883230613	0.891896714315815
33.5	0.0031727537756216506	0.0023656277606380893	0.9320101821518647	0.8919972982830067
33.6	0.003200148243565182	0.002374602940762749	0.932145021824307	0.8920970262570674
33.7	0.0032277521369377116	0.0023836590865962126	0.932278720909465	0.8921959079603491
33.800000000000004	0.003255566880400962	0.0023927964328575024	0.9324112927843744	0.892293952980455
33.900000000000006	0.003283593900466064	0.0024020152212116397	0.9325427506372914	0.8923911707724558
34.0	0.003311834625487675	0.0024113157001128815	0.9326731074708893	0.8924875706610629
34.1	0.0033402904856565385	0.0024206981246571724	0.9328023761053923	0.892583161842761
34.2	0.003368962912991824	0.0024301627564368156	0.9329305691816498	0.8926779533879019
34.300000000000004	0.0033978533413374645	0.002439709863399031	0.9330576991641495	0.8927719542427569
34.4	0.003426963206353384	0.002449339719709398	0.9331837783439718	0.8928651732315326
34.5	0.0034562939455107244	0.0024590526056172957	0.9333088188416878	0.8929576190583484
34.599999999999994	0.0034858469980854068	0.002468848807328783	0.9334328326102023	0.8930493003091777
34.699999999999996	0.003515623805152579	0.002478728616877368	0.9335558314375387	0.8931402254537527
34.8	0.0035456258095806215	0.0024886923320039944	0.9336778269495755	0.893230402847434
34.9	0.0035758544560244854	0.002498740256037024	0.9337988306127243	0.8933198407330447
35.0	0.003606311190921474	0.0025088726977747777	0.9339188537365619	0.8934085472426737
35.099999999999994	0.0036369974624854695	0.002519089971375621	0.93403790747641	0.8934965303994419
35.199999999999996	0.0036679147206996054	0.002529392396245833	0.9341560028358648	0.8935837981192396
35.3	0.00369906441731227	0.0025397802969340244	0.9342731506692817	0.8936703582124297
35.4	0.003730448005831777	0.002550254003026331	0.9343893616842083	0.8937562183855201
35.5	0.0037620669415187047	0.002560813849047605	0.9345046464437776	0.8938413862428074
35.6	0.0037939226813830107	0.0025714601743593857	0.9346190153690508	0.8939258692879887
35.699999999999996	0.003826016684176481	0.0025821933230674166	0.9347324787413194	0.8940096749257448
35.8	0.003858350410387623	0.002593013643928055	0.934845046704361	0.8940928104632953
35.9	0.0038909253222371154	0.0026039214902560115	0.9349567292666578	0.8941752831119261
36.0	0.003923742883669812	0.0026149172198369763	0.9350675363035691	0.8942570999884865
36.1	0.003956804560351301	0.0026260011948426865	0.9351774775594657	0.8943382681168637
36.199999999999996	0.003990111819660469	0.00263717378174666	0.9352865626498243	0.8944187944294276
36.3	0.004023666130685277	0.002648435351241929	0.9353948010632834	0.8944986857684507
36.4	0.004057468964215216	0.002659786278162768	0.9355022021636616	0.8945779488875034
36.5	0.004091521792736641	0.002671226941407867	0.9356087751919366	0.894656590452823
36.6	0.004125826090425222	0.002682757723863838	0.9357145292681914	0.8947346170446606
36.7	0.004160383333141504	0.002694379012334047	0.9358194733935215	0.894812035158602
36.8	0.004195194998423801	0.0027060911974648993	0.9359236164519099	0.8948888512068662
36.9	0.004230262565481646	0.002717894673678556	0.9360269672120667	0.8949650715195802
