infid	kappa_ratio	coop	error
1.000000082740371e-10	2.3093345076663496e-5	43300.51839567969	8.082510786189268e-5
1.1097522900627155e-10	2.4327595274487024e-5	41103.58354482022	8.514480796650847e-5
1.231550417202243e-10	2.5627813159512236e-5	39018.10654501871	8.969537570591157e-5
1.3667167397812818e-10	2.6997525778948983e-5	37038.43134129494	9.448915362952892e-5
1.5167167521923375e-10	2.8440430509091286e-5	35159.21177140196	9.953908021065327e-5
1.6831802618355596e-10	2.9960455647293216e-5	33375.32949633378	0.00010485890188194347
1.8679136015720132e-10	3.156171705021027e-5	31681.954279456346	0.00011046302125372609
2.0729218341841715e-10	3.324855512898406e-5	30074.49493701641	0.00011636662655711838
2.3004298466133832e-10	3.502554052536855e-5	28548.594366294303	0.00012258571147882869
2.5529078850894393e-10	3.689749694413269e-5	27100.109433442653	0.00012913715503470868
2.8330959800371147e-10	3.8869495734616955e-5	25725.115340717057	0.00013603870256528872
3.1440350323208577e-10	4.0946880682013465e-5	24419.884728310088	0.0001433090524546321
3.4891012301585533e-10	4.313529093769031e-5	23180.87365777868	0.0001509679363321803
3.8720382455892377e-10	4.544064782263657e-5	22004.728511072044	0.00015903607283340726
4.2970049740631566e-10	4.7869214912621416e-5	20888.252781988605	0.00016753537782288053
4.768612171801578e-10	5.042756399320503e-5	19828.424490359026	0.00017648884517429408
5.29197907717105e-10	5.312263193113509e-5	18822.368515783226	0.00018592074573553496
5.872786701388577e-10	5.596172551725065e-5	17867.35607787401	0.000195856644187975
6.517340001011007e-10	5.895254365440028e-5	16960.796480205125	0.00020632347660853867
7.232633381093478e-10	6.21031851292253e-5	16100.233692510037	0.0002173495775652512
8.026433961916268e-10	6.542220318128678e-5	15283.330535704701	0.00022896487097534557
8.907354853704419e-10	6.89185808409043e-5	14507.875098973072	0.00024120078367173559
9.884959517592051e-10	7.260180142520944e-5	13771.762914548992	0.0002540904919710041
1.0969858355025508e-9	7.648184439834615e-5	13072.99848972816	0.0002676689070322258
1.2173827501626988e-9	8.056922671506594e-5	12409.686704360614	0.00028197281936725993
1.3509935392619354e-9	8.487502631560062e-5	11780.028747556253	0.00029704098087068864
1.4992684871373285e-9	8.941091300140869e-5	11182.317064117718	0.00031291421266033126
1.6638168620630722e-9	9.418917429804274e-5	10614.931377227076	0.00032963549534603676
1.846424901863486e-9	9.92227639262655e-5	10076.332435318178	0.00034725013839309593
