g	F_num	F_simp	F_full
11.4	0.9983173909015318	0.9984835367940159	0.9982122278328772
11.5	0.998285447568624	0.9984589655963945	0.9981782880416628
11.6	0.9982530355054882	0.998434138976825	0.9981438502245825
11.700000000000001	0.9982201949098365	0.9984091038279026	0.9981089570917009
11.799999999999999	0.9981869622390789	0.9983839031035467	0.9980736473790227
11.9	0.9981533705062492	0.998358576133388	0.9980379561628901
12.0	0.9981194495513191	0.9983331589110067	0.9980019151482762
12.1	0.9980852262900968	0.9983076843583533	0.9979655529332276
12.200000000000001	0.9980507249426687	0.9982821825684326	0.9979288952515852
12.299999999999999	0.998015967243183	0.9982566810281623	0.9978919651958813
12.4	0.9979809726325884	0.9982312048231197	0.9978547834221243
12.5	0.9979457584357945	0.9982057768257395	0.9978173683380325
12.6	0.9979103400246055	0.9981804178683858	0.9977797362761436
12.7	0.9978747309676111	0.9981551469025776	0.9977419016530863
12.8	0.997838943168166	0.9981299811455451	0.9977038771161769
12.9	0.9978029869914405	0.9981049362151817	0.997665673678406
13.0	0.9977668713814625	0.9980800262543563	0.9976273008428027
13.1	0.9977306039689822	0.9980552640454764	0.9975887667170426
13.2	0.9976941911709195	0.9980306611161017	0.9975500781191021
13.3	0.997657638282076	0.9980062278363477	0.9975112406747071
13.4	0.9976209495597576	0.9979819735087404	0.9974722589072411
13.5	0.9975841283018646	0.9979579064511489	0.9974331363207317
13.6	0.9975471769189992	0.9979340340733395	0.997393875476435
13.7	0.9975100970010506	0.9979103629476765	0.9973544780636159
13.8	0.9974728893787076	0.997886898874426	0.997314944964878
13.9	0.9974355541803026	0.997863646942099	0.9972752763165728
14.0	0.9973980908843563	0.9978406115832231	0.9972354715646278
14.1	0.997360498368154	0.9978177966259018	0.9971955295161623
14.2	0.9973227749526716	0.9977952053414918	0.9971554483872139
14.3	0.9972849184441385	0.997772840488699	0.9971152258468959
14.399999999999999	0.9972469261724832	0.9977507043543741	0.9970748590582634
14.5	0.9972087950269204	0.9977287987912585	0.9970343447161025
14.600000000000001	0.9971705214888854	0.9977071252529174	0.9969936790819399
14.7	0.9971321016625259	0.9976856848260721	0.9969528580164323
14.8	0.9970935313029358	0.9976644782605328	0.9969118770093695
14.899999999999999	0.9970548058423009	0.9976435059969141	0.9968707312074456
15.0	0.9970159204141131	0.9976227681922936	0.9968294154399939
15.1	0.9969768698756049	0.9976022647439787	0.9967879242428301
15.200000000000001	0.9969376488285261	0.997581995311514	0.9967462518803086
15.3	0.9968982516384001	0.9975619593370667	0.9967043923657997
15.399999999999999	0.9968586724523614	0.9975421560643063	0.9966623394806338
15.500000000000002	0.9968189052156856	0.9975225845558944	0.9966200867916657
15.600000000000001	0.996778943687107	0.9975032437096814	0.9965776276675503
15.7	0.9967387814530122	0.9974841322737124	0.9965349552938256
15.799999999999999	0.9966984119405966	0.9974652488601216	0.9964920626868847
15.9	0.9966578284300479	0.9974465919580038	0.996448942706925
16.0	0.9966170240658456	0.9974281599453322	0.9964055880699616
16.099999999999998	0.9965759918672248	0.9974099510999952	0.9963619913589268
16.200000000000003	0.9965347247378731	0.9973919636100128	0.9963181450339884
16.3	0.9964932154749131	0.9973741955829962	0.9962740414420957
16.4	0.9964514567772265	0.9973566450548996	0.9962296728258025
16.5	0.9964094412531591	0.9973393099981204	0.9961850313314817
16.6	0.9963671614276609	0.9973221883289923	0.9961401090168903
16.7	0.9963246097488937	0.9973052779147124	0.9960948978581998
16.8	0.9962817785943479	0.9972885765797468	0.9960493897564947
16.900000000000002	0.996238660276507	0.997272082111751	0.9960035765437883
17.0	0.9961952470480848	0.9972557922670363	0.9959574499885903
17.099999999999998	0.9961515311068726	0.9972397047756201	0.9959110018010519
17.2	0.9961075046002167	0.9972238173458824	0.995864223637731
17.3	0.996063159629162	0.9972081276688647	0.9958171071059856
17.4	0.996018488252281	0.9971926334222296	0.9957696437680487
17.5	0.9959734824892046	0.99717733227391	0.9957218251447792
17.6	0.9959281343238852	0.9971622218854669	0.9956736427191276
17.7	0.995882435707611	0.997147299915176	0.9956250879393367
17.8	0.995836378561778	0.9971325640208666	0.9955761522218892
17.9	0.9957899547804506	0.9971180118625254	0.99552682695423
18.0	0.9957431562327197	0.9971036411046843	0.9954771034972631
18.1	0.9956959747648682	0.9970894494186063	0.9954269731876721
18.2	0.9956484022023697	0.9970754344842858	0.9953764273400175
18.3	0.9956004303517193	0.9970615939922745	0.9953254572487021
18.4	0.9955520510021183	0.9970479256453451	0.9952740541897492
18.5	0.9955032559270165	0.9970344271600059	0.9952222094224552
18.6	0.9954540368855279	0.9970210962678777	0.9951699141908744
18.7	0.9954043856237262	0.9970079307169356	0.9951171597252083
18.8	0.9953542938758273	0.9969949282726405	0.9950639372430662
18.9	0.9953037533652696	0.9969820867189475	0.9950102379506
19.0	0.9952527558057004	0.9969694038592222	0.9949560530435579
19.1	0.9952012929018733	0.99695687751705	0.9949013737082387
19.2	0.9951493563504603	0.9969445055369663	0.9948461911223647
19.3	0.995096937840794	0.9969322857850971	0.9947904964558427
19.4	0.9950440290555345	0.9969202161497254	0.994734280871505
19.5	0.9949906216712743	0.9969082945417885	0.9946775355257292
19.6	0.9949367073590828	0.9968965188953055	0.994620251569024
19.7	0.9948822777849962	0.9968848871677475	0.9945624201465587
19.8	0.9948273246104532	0.9968733973403497	0.9945040323986063
19.9	0.994771839492689	0.9968620474183715	0.9944450794609819
20.0	0.9947158140850821	0.9968508354313081	0.9943855524653981
20.1	0.9946592400374603	0.9968397594330607	0.9943254425398015
20.2	0.9946021089963771	0.9968288175020588	0.994264740808651
20.3	0.9945444126053452	0.9968180077413531	0.994203438393179
20.400000000000002	0.9944861425050453	0.9968073282786659	0.9941415264116108
20.5	0.9944272903335071	0.9967967772664156	0.9940789959793513
20.599999999999998	0.9943678477262603	0.9967863528817051	0.9940158382091527
20.7	0.9943078063164663	0.9967760533262897	0.9939520442112431
20.8	0.9942471577350261	0.9967658768265151	0.993887605093466
20.9	0.9941858936106714	0.9967558216332347	0.9938225119613386
21.0	0.994124005570035	0.9967458860217052	0.9937567559181626
21.1	0.9940614852377093	0.996736068291465	0.9936903280650671
21.2	0.9939983242362866	0.9967263667661908	0.9936232195010546
21.299999999999997	0.9939345141863896	0.9967167797935428	0.993555421323039
21.400000000000002	0.9938700467066899	0.9967073057449941	0.9934869246258574
