N	fid_local	fid_remote	ps_local	ps_remote
2.0	0.998406107867569	0.9839812023553535	0.710238001037	0.717059299786913
3.0	0.6309267124114222	0.6648382114399073	0.7473014622502646	0.6578424051993415
4.0	0.4485432323042325	0.3679355764573603	0.7848732250832741	0.6709564368860673
5.0	0.35677735372907093	0.24676551379682	0.8175959975494465	0.6528678766646592
6.0	0.3095885834307718	0.18697616491114583	0.8444336182631434	0.6811082145700256
